OverallQual,GrLivArea,GarageCars,SalePrice
8,2450,3,340000
5,1144,1,124000
6,1844,2,223000
6,1416,2,179900
6,1069,2,127500
6,848,2,136500
6,2201,2,274970
5,1344,1,144000
6,1252,2,142000
7,2127,2,271000
5,1558,1,140000
5,804,1,119000
6,1440,2,182900
5,1838,2,192140
6,958,2,143750
4,968,1,64500
6,1792,2,186500
5,1126,2,160000
6,1537,2,174000
4,864,2,120500
8,1932,3,394617
6,1236,2,149700
7,1725,2,197000
6,2555,2,191000
6,848,2,149300
10,2007,3,310000
6,952,1,121000
7,1422,2,179600
6,913,1,129000
5,1188,1,157900
8,2090,2,240000
4,1346,1,112000
5,630,0,92000
5,1792,0,136000
8,1578,3,287090
5,1072,2,145000
5,1140,0,84500
7,1221,2,185000
6,1647,2,175000
6,2073,2,210000
7,2340,1,266500
5,1078,1,142125
5,1256,1,147500
